2020/12/05 15:40:21,Maarten,23.0
2020/12/05 15:40:21,Stijn,17.0
2020/12/05 17:30:13,Maarten,20.0
2020/12/05 17:30:13,Stijn,20.0
2020/12/05 18:17:52,Maarten,24.0
2020/12/05 18:17:52,Stijn,17.6
2020/12/07 18:29:30,Player1,27.0
2020/12/07 18:29:30,Player2,14.3
2020/12/08 00:59:32,Player1,19.0
2020/12/08 00:59:32,Player2,23.1
2020/12/08 01:09:13,Player1,22.0
2020/12/08 01:09:13,Player2,19.8
2020/12/08 01:12:14,Player1,23.0
2020/12/08 01:12:14,Player2,18.7
2020/12/08 16:58:08,Player1,17.0
2020/12/08 16:58:08,Player2,25.3
2020/12/08 16:58:43,Player1,16.0
2020/12/08 16:58:43,Player2,26.4
2020/12/08 17:00:27,Player1,23.0
2020/12/08 17:00:27,Player2,18.7
2020/12/08 17:24:17,Player1,17.0
2020/12/08 17:24:17,Player2,25.3
2020/12/08 17:27:53,Player1,17.0
2020/12/08 17:27:53,Player2,25.3
2020/12/08 17:28:11,Player1,13.0
2020/12/08 17:28:11,Player2,29.7
2020/12/08 17:34:09,Player1,23.0
2020/12/08 17:34:09,Player2,18.7
2020/12/08 17:34:34,Player1,27.0
2020/12/08 17:34:34,Player2,14.3
2020/12/08 20:40:08,Player1,25.0
2020/12/08 20:40:08,Player2,16.5
2020/12/08 20:43:23,Player1,16.0
2020/12/08 20:43:23,Player2,26.4
2020/12/08 20:46:21,Player1,25.0
2020/12/08 20:46:21,Player2,16.5
2020/12/08 20:46:38,Player1,23.0
2020/12/08 20:46:38,Player2,18.7
2020/12/08 23:53:13,Player1,17.0
2020/12/08 23:53:13,Player2,25.3
